Epoch,Learn rate,Avg Train loss,Train Accuracy,Avg Eval loss,Eval accuracy
1,8.45513203992108e-05,4.080457472111568,0.08315235205487279,4.087974666209703,0.08190909538711055
2,0.0001691026407984216,3.9214333295822144,0.09125551844616074,3.90533221705576,0.09175912684269166
3,0.0002536539611976324,3.6741410316514576,0.10405562377788803,3.693021559983157,0.1026370083348135
4,0.0003382052815968432,3.2328977663654928,0.19310373018595797,3.2338269239061335,0.19674667632311918
5,0.000422756601996054,3.081678828917259,0.2081149312521308,3.0695015875141274,0.21412970410304122
6,0.0005073079223952648,2.9575433588224995,0.22397093200856003,2.952070707685492,0.22872541660673162
7,0.0005918592427944756,2.838180480417141,0.24481209469112483,2.8564199329761975,0.2448265596052234
8,0.0006764105631936864,2.7006932107870245,0.27030875330621545,2.7276531658815535,0.269563761320007
9,0.0006696086943054427,2.5882684874140525,0.2956616372054766,2.5914224372820907,0.2985550327582306
10,0.0006352465845169856,2.517807162990255,0.31492842025746987,2.522883104474357,0.3152258838160654
11,0.0006056838532829841,2.448807195937338,0.326184780883395,2.4888320451372126,0.3238250988253047
12,0.0005798981398634417,2.3660733579111493,0.3395026921610202,2.404281972499376,0.33488373039813524
13,0.0005571481111880228,2.326706485561103,0.34677821890381744,2.367119119408425,0.3417016224245007
14,0.0005368813537062887,2.2899139644193256,0.3543403430664835,2.3267473411024286,0.3503416348039434
15,0.0005186766643041345,2.2663616853312027,0.3581184359990861,2.3187335475107256,0.35016346948870114
16,0.000502206520729082,2.241877922095543,0.36420283195647324,2.2944599001595143,0.3572351691428195
17,0.0004872118896094,2.2128060110344374,0.3686363469224331,2.264072470450669,0.3607645644230789
18,0.00047348484848484844,2.201807628485782,0.37083335904296766,2.2449022009131614,0.3622871017857884
19,0.0004608563100305753,2.177302476788355,0.3760235831757222,2.226057273618291,0.3678362901960866
20,0.00044918716763755383,2.155554179317695,0.37956745399177566,2.219052144650663,0.3665190161613936
21,0.0004383617896650338,2.13897430872129,0.3837946684769362,2.2037088871002197,0.37312387114160517
22,0.000428283159911596,2.132446436596311,0.38483462845983585,2.18603552057502,0.3739112438110823
23,0.0004188691936218668,2.1228090182316204,0.3867722571142449,2.1896215744232865,0.37521015760603915
24,0.0004100499070949047,2.092660781519472,0.3926394506057432,2.162179818314113,0.38050900014598715
25,0.0004017652165832656,2.089319068291956,0.3939042376462093,2.164651517117961,0.38038621558232255
26,0.00039396320754632745,2.082017052518435,0.3942884950598409,2.1562995709729997,0.38154403647679963
27,0.0003865987599089611,2.057471869159336,0.4005724153489121,2.1506175981478743,0.3832655354831996
